,Comments,Domain,SUB-DOMAIN,SENTIMENT
19,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",COURSE/UNIT DESIGN,Practical-theory links,negative
20,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),negative
21,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",COURSE/UNIT DESIGN,Structure and expectations,negative
22,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",OUTCOMES,Interpersonal,negative
23,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",OUTCOMES,Knowledge & Skills,negative
24,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",OUTCOMES,Work application/ career,negative
25,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",STAFF,Practical experience (current),negative
26,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",STAFF,Quality and attitude,negative
27,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",STAFF,Teaching skills,negative
28,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",ASSESSMENT,Standards,negative
29,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",ASSESSMENT,Relevance,negative
30,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",OUTCOMES,Personal,negative
31,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",ASSESSMENT,Expectations,negative
32,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",COURSE/UNIT DESIGN,Flexibility/ responsiveness,negative
33,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",OUTCOMES,Further Learning,negative
34,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",STAFF,Accessibility and responsiveness,negative
35,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",OUTCOMES,Work application/ career,negative
36,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",OUTCOMES,Interpersonal,negative
37,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",OUTCOMES,Knowledge & Skills,negative
38,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",OUTCOMES,Personal,negative
39,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",COURSE/UNIT DESIGN,Methods of learning and teaching,negative
40,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",COURSE/UNIT DESIGN,Practical-theory links,negative
41,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),negative
42,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",COURSE/UNIT DESIGN,Structure and expectations,negative
43,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",ASSESSMENT,Feedback/ return,negative
44,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",ASSESSMENT,Marking,negative
45,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",ASSESSMENT,Relevance,negative
46,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",ASSESSMENT,Standards,negative
47,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",STAFF,Teaching skills,negative
48,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",STAFF,Quality and attitude,negative
49,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",OUTCOMES,Intellectual,negative
50,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",SUPPORT,Student services,negative
51,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",SUPPORT,Student administration,negative
52,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",SUPPORT,Social affinity/ support,negative
53,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",SUPPORT,Leanring resources,negative
54,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",SUPPORT,Infrastructure/ environment,negative
55,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",STAFF,Accessibility and responsiveness,negative
56,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",OUTCOMES,Further Learning,negative
57,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",COURSE/UNIT DESIGN,Flexibility/ responsiveness,negative
58,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",ASSESSMENT,Expectations,negative
59,"Access to the on campus lectures seemed to replace blackboard lectures as the main source of engagement for cloud students. Less option for engagement by cloud students in lectures. Current exam methodoloy doesn't reflect the way people utilise knowledge & skills in the real world, not an authentic reflection of learning outcomes. Subject matter could have been presented in a manner that invited more critical reflection. I thought some of the content warranted debate.  Discussion in on-campus & on-line forums was limited & therefore very focused on lecturer's input with limited student input",STAFF,Practical experience (current),negative
60,"After the physical activity part of the day it would be good to have a list of activities that were done during the session on each day, in order of each activity. After a few days I forgot what activity was done on each day and the daily notes were a little confusing when I tried to backtrack all the games and activities. This would be useful for assessment task 2 when references need to be made to activities that we participated in.",ASSESSMENT,Standards,negative
61,"After the physical activity part of the day it would be good to have a list of activities that were done during the session on each day, in order of each activity. After a few days I forgot what activity was done on each day and the daily notes were a little confusing when I tried to backtrack all the games and activities. This would be useful for assessment task 2 when references need to be made to activities that we participated in.",ASSESSMENT,Relevance,negative
62,"After the physical activity part of the day it would be good to have a list of activities that were done during the session on each day, in order of each activity. After a few days I forgot what activity was done on each day and the daily notes were a little confusing when I tried to backtrack all the games and activities. This would be useful for assessment task 2 when references need to be made to activities that we participated in.",ASSESSMENT,Marking,negative
63,"After the physical activity part of the day it would be good to have a list of activities that were done during the session on each day, in order of each activity. After a few days I forgot what activity was done on each day and the daily notes were a little confusing when I tried to backtrack all the games and activities. This would be useful for assessment task 2 when references need to be made to activities that we participated in.",ASSESSMENT,Feedback/ return,negative
64,"After the physical activity part of the day it would be good to have a list of activities that were done during the session on each day, in order of each activity. After a few days I forgot what activity was done on each day and the daily notes were a little confusing when I tried to backtrack all the games and activities. This would be useful for assessment task 2 when references need to be made to activities that we participated in.",COURSE/UNIT DESIGN,Structure and expectations,negative
65,"After the physical activity part of the day it would be good to have a list of activities that were done during the session on each day, in order of each activity. After a few days I forgot what activity was done on each day and the daily notes were a little confusing when I tried to backtrack all the games and activities. This would be useful for assessment task 2 when references need to be made to activities that we participated in.",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),negative
66,"After the physical activity part of the day it would be good to have a list of activities that were done during the session on each day, in order of each activity. After a few days I forgot what activity was done on each day and the daily notes were a little confusing when I tried to backtrack all the games and activities. This would be useful for assessment task 2 when references need to be made to activities that we participated in.",COURSE/UNIT DESIGN,Flexibility/ responsiveness,negative
67,"After the physical activity part of the day it would be good to have a list of activities that were done during the session on each day, in order of each activity. After a few days I forgot what activity was done on each day and the daily notes were a little confusing when I tried to backtrack all the games and activities. This would be useful for assessment task 2 when references need to be made to activities that we participated in.",COURSE/UNIT DESIGN,Methods of learning and teaching,negative
68,"After the physical activity part of the day it would be good to have a list of activities that were done during the session on each day, in order of each activity. After a few days I forgot what activity was done on each day and the daily notes were a little confusing when I tried to backtrack all the games and activities. This would be useful for assessment task 2 when references need to be made to activities that we participated in.",ASSESSMENT,Expectations,negative
69,"After the physical activity part of the day it would be good to have a list of activities that were done during the session on each day, in order of each activity. After a few days I forgot what activity was done on each day and the daily notes were a little confusing when I tried to backtrack all the games and activities. This would be useful for assessment task 2 when references need to be made to activities that we participated in.",COURSE/UNIT DESIGN,Practical-theory links,negative
70,"As noted more weighting for Aplia with more questions would be helpful. Possibly some of the questions we could get in the exam in this setting so we are practising would be useful. 
Releasing notes earlier would be helpful for online students as sometimes work gets crazy and you fall behind but if you are a little ahead of the readings thats okay. You wouldn't need to release any earlier though just the readings and the lecture notes.",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),negative
71,"As noted more weighting for Aplia with more questions would be helpful. Possibly some of the questions we could get in the exam in this setting so we are practising would be useful. 
Releasing notes earlier would be helpful for online students as sometimes work gets crazy and you fall behind but if you are a little ahead of the readings thats okay. You wouldn't need to release any earlier though just the readings and the lecture notes.",ASSESSMENT,Feedback/ return,negative
72,"As noted more weighting for Aplia with more questions would be helpful. Possibly some of the questions we could get in the exam in this setting so we are practising would be useful. 
Releasing notes earlier would be helpful for online students as sometimes work gets crazy and you fall behind but if you are a little ahead of the readings thats okay. You wouldn't need to release any earlier though just the readings and the lecture notes.",COURSE/UNIT DESIGN,Structure and expectations,negative
